 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602770120.702055]      *** Running mifaser with up to 28 parallel thread(s)
[1602774514.175446]      *** Post-processing...
[1602769968.0810971]     *** Input: Uncompressed file ERR598981_cut20M.fastq
[1602769968.0811224]         Converting ERR598981_cut20M.fastq from fastq to fasta format...
[1602770040.4991229]         Getting input file statistics...
[1602770040.4992127]         Input file size: 3466MB
[1602770052.5089478]         Input file reads: 20000000
[1602772244.9981296]         [Thread #99]      Analyzing...
[1602772245.3211432]         [Thread #99]      Create read mapping...
[1602772260.5809295]         [Thread #99]    - [Thread #99] finished
[1602772240.678187]          [Thread #100]    - [Thread #100] running on [1/28] CPUs
[1602772240.6783168]         [Thread #100]      Creating output directories...
[1602772240.6797376]         [Thread #100]      Translating reads...
[1602772260.5280335]         [Thread #100]      Running DIAMOND...
[1602772266.5290523]         [Thread #100]      Converting DIAMOND...
[1602772266.6594243]         [Thread #100]      Parsing DIAMOND...
[1602772266.8787506]         [Thread #100]      Annotating...
[1602772267.1095395]         [Thread #100]      Analyzing...
[1602772267.4274802]         [Thread #100]      Create read mapping...
[1602772283.1922894]         [Thread #100]    - [Thread #100] finished
[1602772262.7321122]         [Thread #101]    - [Thread #101] running on [1/28] CPUs
[1602772262.7321923]         [Thread #101]      Creating output directories...
[1602772262.7337098]         [Thread #101]      Translating reads...
[1602772283.0589023]         [Thread #101]      Running DIAMOND...
[1602772289.0023134]         [Thread #101]      Converting DIAMOND...
[1602772289.124772]          [Thread #101]      Parsing DIAMOND...
[1602772289.2913911]         [Thread #101]      Annotating...
[1602772289.6791563]         [Thread #101]      Analyzing...
[1602772289.8896832]         [Thread #101]      Create read mapping...
[1602772305.5410075]         [Thread #101]    - [Thread #101] finished
[1602772285.389808]          [Thread #102]    - [Thread #102] running on [1/28] CPUs
[1602772285.3898873]         [Thread #102]      Creating output directories...
[1602772285.391512]          [Thread #102]      Translating reads...
[1602772305.4704223]         [Thread #102]      Running DIAMOND...
[1602772311.3940454]         [Thread #102]      Converting DIAMOND...
[1602772311.5142744]         [Thread #102]      Parsing DIAMOND...
[1602772311.7052147]         [Thread #102]      Annotating...
[1602772311.866976]          [Thread #102]      Analyzing...
[1602772312.2073507]         [Thread #102]      Create read mapping...
[1602772327.3741803]         [Thread #102]    - [Thread #102] finished
[1602772307.679867]          [Thread #103]    - [Thread #103] running on [1/28] CPUs
[1602772307.6799474]         [Thread #103]      Creating output directories...
[1602772307.6813]            [Thread #103]      Translating reads...
[1602772327.2398553]         [Thread #103]      Running DIAMOND...
[1602772333.1748862]         [Thread #103]      Converting DIAMOND...
[1602772333.2924058]         [Thread #103]      Parsing DIAMOND...
[1602772333.4778128]         [Thread #103]      Annotating...
[1602772333.8053901]         [Thread #103]      Analyzing...
[1602772334.2652771]         [Thread #103]      Create read mapping...
[1602772349.599088]          [Thread #103]    - [Thread #103] finished
[1602772329.6077223]         [Thread #104]    - [Thread #104] running on [1/28] CPUs
[1602772329.6078026]         [Thread #104]      Creating output directories...
[1602772329.6092184]         [Thread #104]      Translating reads...
[1602772349.4646218]         [Thread #104]      Running DIAMOND...
[1602772355.6053383]         [Thread #104]      Converting DIAMOND...
[1602772355.7095473]         [Thread #104]      Parsing DIAMOND...
[1602772355.9210012]         [Thread #104]      Annotating...
[1602772356.0133061]         [Thread #104]      Analyzing...
[1602772356.3326147]         [Thread #104]      Create read mapping...
[1602772371.749004]          [Thread #104]    - [Thread #104] finished
[1602772351.848034]          [Thread #105]    - [Thread #105] running on [1/28] CPUs
[1602772351.8481147]         [Thread #105]      Creating output directories...
[1602772351.8496265]         [Thread #105]      Translating reads...
[1602772371.695822]          [Thread #105]      Running DIAMOND...
[1602772377.833449]          [Thread #105]      Converting DIAMOND...
[1602772377.971449]          [Thread #105]      Parsing DIAMOND...
[1602772378.1251087]         [Thread #105]      Annotating...
[1602772378.2837532]         [Thread #105]      Analyzing...
[1602772378.5851402]         [Thread #105]      Create read mapping...
[1602772393.9059093]         [Thread #105]    - [Thread #105] finished
[1602772374.0315256]         [Thread #106]    - [Thread #106] running on [1/28] CPUs
[1602772374.0316074]         [Thread #106]      Creating output directories...
[1602772374.033149]          [Thread #106]      Translating reads...
[1602772393.86518]           [Thread #106]      Running DIAMOND...
[1602772399.9229093]         [Thread #106]      Converting DIAMOND...
[1602772400.1192088]         [Thread #106]      Parsing DIAMOND...
[1602772400.225808]          [Thread #106]      Annotating...
[1602772400.5911684]         [Thread #106]      Analyzing...
[1602772400.9215794]         [Thread #106]      Create read mapping...
[1602772415.7568762]         [Thread #106]    - [Thread #106] finished
[1602772396.109111]          [Thread #107]    - [Thread #107] running on [1/28] CPUs
[1602772396.109191]          [Thread #107]      Creating output directories...
[1602772396.1106288]         [Thread #107]      Translating reads...
[1602772415.694548]          [Thread #107]      Running DIAMOND...
[1602772421.6364226]         [Thread #107]      Converting DIAMOND...
[1602772421.7441144]         [Thread #107]      Parsing DIAMOND...
[1602772422.0208375]         [Thread #107]      Annotating...
[1602772422.2015436]         [Thread #107]      Analyzing...
[1602772422.5045419]         [Thread #107]      Create read mapping...
[1602772438.1198726]         [Thread #107]    - [Thread #107] finished
[1602772417.9666915]         [Thread #108]    - [Thread #108] running on [1/28] CPUs
[1602772417.9667716]         [Thread #108]      Creating output directories...
[1602772417.9683566]         [Thread #108]      Translating reads...
[1602772437.968621]          [Thread #108]      Running DIAMOND...
[1602772443.9689322]         [Thread #108]      Converting DIAMOND...
[1602772444.0775292]         [Thread #108]      Parsing DIAMOND...
[1602772444.3003857]         [Thread #108]      Annotating...
[1602772444.546137]          [Thread #108]      Analyzing...
[1602772444.6436124]         [Thread #108]      Create read mapping...
[1602772460.556963]          [Thread #108]    - [Thread #108] finished
[1602772440.4191375]         [Thread #109]    - [Thread #109] running on [1/28] CPUs
[1602772440.419217]          [Thread #109]      Creating output directories...
[1602772440.4207363]         [Thread #109]      Translating reads...
[1602772460.2833703]         [Thread #109]      Running DIAMOND...
[1602772466.287084]          [Thread #109]      Converting DIAMOND...
[1602772466.4105303]         [Thread #109]      Parsing DIAMOND...
[1602772466.5642245]         [Thread #109]      Annotating...
[1602772466.8774014]         [Thread #109]      Analyzing...
[1602772467.0958111]         [Thread #109]      Create read mapping...
[1602772483.2498434]         [Thread #109]    - [Thread #109] finished
[1602772462.6723437]         [Thread #110]    - [Thread #110] running on [1/28] CPUs
[1602772462.6724255]         [Thread #110]      Creating output directories...
[1602772462.673791]          [Thread #110]      Translating reads...
[1602772483.2054718]         [Thread #110]      Running DIAMOND...
[1602772489.1958544]         [Thread #110]      Converting DIAMOND...
[1602772489.3140926]         [Thread #110]      Parsing DIAMOND...
[1602772489.752602]          [Thread #110]      Annotating...
[1602772490.080663]          [Thread #110]      Analyzing...
[1602772490.3220298]         [Thread #110]      Create read mapping...
[1602772505.6487243]         [Thread #110]    - [Thread #110] finished
[1602772485.4630978]         [Thread #111]    - [Thread #111] running on [1/28] CPUs
[1602772485.4631777]         [Thread #111]      Creating output directories...
[1602772485.464581]          [Thread #111]      Translating reads...
[1602772505.5245228]         [Thread #111]      Running DIAMOND...
[1602772511.4558508]         [Thread #111]      Converting DIAMOND...
[1602772511.5728407]         [Thread #111]      Parsing DIAMOND...
[1602772511.9490674]         [Thread #111]      Annotating...
[1602772512.1107538]         [Thread #111]      Analyzing...
[1602772512.2510605]         [Thread #111]      Create read mapping...
[1602772528.8782935]         [Thread #111]    - [Thread #111] finished
[1602772507.8613248]         [Thread #112]    - [Thread #112] running on [1/28] CPUs
[1602772507.8614085]         [Thread #112]      Creating output directories...
[1602772507.8643317]         [Thread #112]      Translating reads...
[1602772528.723217]          [Thread #112]      Running DIAMOND...
[1602772534.7393126]         [Thread #112]      Converting DIAMOND...
[1602772534.861584]          [Thread #112]      Parsing DIAMOND...
[1602772535.098977]          [Thread #112]      Annotating...
[1602772535.2519166]         [Thread #112]      Analyzing...
[1602772535.4445453]         [Thread #112]      Create read mapping...
[1602772550.8841093]         [Thread #112]    - [Thread #112] finished
[1602772531.0403035]         [Thread #113]    - [Thread #113] running on [1/28] CPUs
[1602772531.0403855]         [Thread #113]      Creating output directories...
[1602772531.0431945]         [Thread #113]      Translating reads...
[1602772550.726687]          [Thread #113]      Running DIAMOND...
[1602772556.672426]          [Thread #113]      Converting DIAMOND...
[1602772556.7777095]         [Thread #113]      Parsing DIAMOND...
[1602772557.0844018]         [Thread #113]      Annotating...
[1602772557.4188967]         [Thread #113]      Analyzing...
[1602772557.6085215]         [Thread #113]      Create read mapping...
[1602772573.4752827]         [Thread #113]    - [Thread #113] finished
[1602772553.1046495]         [Thread #114]    - [Thread #114] running on [1/28] CPUs
[1602772553.1047294]         [Thread #114]      Creating output directories...
[1602772553.1076207]         [Thread #114]      Translating reads...
[1602772573.3722079]         [Thread #114]      Running DIAMOND...
[1602772579.3058689]         [Thread #114]      Converting DIAMOND...
[1602772579.4355338]         [Thread #114]      Parsing DIAMOND...
[1602772579.5712717]         [Thread #114]      Annotating...
[1602772579.725196]          [Thread #114]      Analyzing...
[1602772579.8226216]         [Thread #114]      Create read mapping...
[1602772595.3525357]         [Thread #114]    - [Thread #114] finished
[1602772575.632925]          [Thread #115]    - [Thread #115] running on [1/28] CPUs
[1602772575.6330054]         [Thread #115]      Creating output directories...
[1602772575.6357954]         [Thread #115]      Translating reads...
[1602772595.2733827]         [Thread #115]      Running DIAMOND...
[1602772601.2399547]         [Thread #115]      Converting DIAMOND...
[1602772601.3592975]         [Thread #115]      Parsing DIAMOND...
[1602772601.626911]          [Thread #115]      Annotating...
[1602772602.0508225]         [Thread #115]      Analyzing...
[1602772602.1538754]         [Thread #115]      Create read mapping...
[1602772618.6198921]         [Thread #115]    - [Thread #115] finished
[1602772597.6119769]         [Thread #116]    - [Thread #116] running on [1/28] CPUs
[1602772597.6120586]         [Thread #116]      Creating output directories...
[1602772597.7619846]         [Thread #116]      Translating reads...
[1602772618.4762232]         [Thread #116]      Running DIAMOND...
[1602772624.4661834]         [Thread #116]      Converting DIAMOND...
[1602772624.5687084]         [Thread #116]      Parsing DIAMOND...
[1602772624.759426]          [Thread #116]      Annotating...
[1602772625.0719194]         [Thread #116]      Analyzing...
[1602772625.3866444]         [Thread #116]      Create read mapping...
[1602772641.0899777]         [Thread #116]    - [Thread #116] finished
[1602772620.7265835]         [Thread #117]    - [Thread #117] running on [1/28] CPUs
[1602772620.726666]          [Thread #117]      Creating output directories...
[1602772620.7282217]         [Thread #117]      Translating reads...
[1602772640.9741266]         [Thread #117]      Running DIAMOND...
[1602772647.0213442]         [Thread #117]      Converting DIAMOND...
[1602772647.1663868]         [Thread #117]      Parsing DIAMOND...
[1602772647.3625631]         [Thread #117]      Annotating...
[1602772647.6393344]         [Thread #117]      Analyzing...
[1602772647.9463477]         [Thread #117]      Create read mapping...
[1602772663.48002]           [Thread #117]    - [Thread #117] finished
[1602772643.2934678]         [Thread #118]    - [Thread #118] running on [1/28] CPUs
[1602772643.2935479]         [Thread #118]      Creating output directories...
[1602772643.2949357]         [Thread #118]      Translating reads...
[1602772663.324558]          [Thread #118]      Running DIAMOND...
[1602772669.359399]          [Thread #118]      Converting DIAMOND...
[1602772669.4805963]         [Thread #118]      Parsing DIAMOND...
[1602772669.714071]          [Thread #118]      Annotating...
[1602772669.9135828]         [Thread #118]      Analyzing...
[1602772670.2636201]         [Thread #118]      Create read mapping...
[1602772685.965417]          [Thread #118]    - [Thread #118] finished
[1602772665.686913]          [Thread #119]    - [Thread #119] running on [1/28] CPUs
[1602772665.6869924]         [Thread #119]      Creating output directories...
[1602772665.6881812]         [Thread #119]      Translating reads...
[1602772685.8927195]         [Thread #119]      Running DIAMOND...
[1602772691.8498127]         [Thread #119]      Converting DIAMOND...
[1602772691.9772756]         [Thread #119]      Parsing DIAMOND...
[1602772692.2324934]         [Thread #119]      Annotating...
[1602772692.4768348]         [Thread #119]      Analyzing...
[1602772692.7516725]         [Thread #119]      Create read mapping...
[1602772708.0215156]         [Thread #119]    - [Thread #119] finished
[1602772688.1217608]         [Thread #120]    - [Thread #120] running on [1/28] CPUs
[1602772688.1218426]         [Thread #120]      Creating output directories...
[1602772688.1233187]         [Thread #120]      Translating reads...
[1602772707.9771855]         [Thread #120]      Running DIAMOND...
[1602772713.918809]          [Thread #120]      Converting DIAMOND...
[1602772714.0438316]         [Thread #120]      Parsing DIAMOND...
[1602772714.2043152]         [Thread #120]      Annotating...
[1602772714.4125931]         [Thread #120]      Analyzing...
[1602772714.6550846]         [Thread #120]      Create read mapping...
[1602772730.9721568]         [Thread #120]    - [Thread #120] finished
[1602772710.1758058]         [Thread #121]    - [Thread #121] running on [1/28] CPUs
[1602772710.1758869]         [Thread #121]      Creating output directories...
[1602772710.177286]          [Thread #121]      Translating reads...
[1602772730.8533537]         [Thread #121]      Running DIAMOND...
[1602772736.8243308]         [Thread #121]      Converting DIAMOND...
[1602772736.953491]          [Thread #121]      Parsing DIAMOND...
[1602772737.3438692]         [Thread #121]      Annotating...
[1602772737.537498]          [Thread #121]      Analyzing...
[1602772737.8627458]         [Thread #121]      Create read mapping...
[1602772753.626781]          [Thread #121]    - [Thread #121] finished
[1602772733.2128358]         [Thread #122]    - [Thread #122] running on [1/28] CPUs
[1602772733.212917]          [Thread #122]      Creating output directories...
[1602772733.2143483]         [Thread #122]      Translating reads...
[1602772753.593522]          [Thread #122]      Running DIAMOND...
[1602772759.5734558]         [Thread #122]      Converting DIAMOND...
[1602772759.6859226]         [Thread #122]      Parsing DIAMOND...
[1602772759.9214182]         [Thread #122]      Annotating...
[1602772760.291874]          [Thread #122]      Analyzing...
[1602772760.6045418]         [Thread #122]      Create read mapping...
[1602772777.0397658]         [Thread #122]    - [Thread #122] finished
[1602772755.8074708]         [Thread #123]    - [Thread #123] running on [1/28] CPUs
[1602772755.8075519]         [Thread #123]      Creating output directories...
[1602772755.808995]          [Thread #123]      Translating reads...
[1602772776.9994514]         [Thread #123]      Running DIAMOND...
[1602772782.965817]          [Thread #123]      Converting DIAMOND...
[1602772783.0745752]         [Thread #123]      Parsing DIAMOND...
[1602772783.279959]          [Thread #123]      Annotating...
[1602772783.4338098]         [Thread #123]      Analyzing...
[1602772783.545472]          [Thread #123]      Create read mapping...
[1602772799.515439]          [Thread #123]    - [Thread #123] finished
[1602772779.2177892]         [Thread #124]    - [Thread #124] running on [1/28] CPUs
[1602772779.2178693]         [Thread #124]      Creating output directories...
[1602772779.2192543]         [Thread #124]      Translating reads...
[1602772799.4089184]         [Thread #124]      Running DIAMOND...
[1602772805.3503265]         [Thread #124]      Converting DIAMOND...
[1602772805.4740915]         [Thread #124]      Parsing DIAMOND...
[1602772805.702648]          [Thread #124]      Annotating...
[1602772805.8961942]         [Thread #124]      Analyzing...
[1602772806.2255604]         [Thread #124]      Create read mapping...
[1602772821.5318744]         [Thread #124]    - [Thread #124] finished
[1602772802.0878785]         [Thread #125]    - [Thread #125] running on [1/28] CPUs
[1602772802.0879595]         [Thread #125]      Creating output directories...
[1602772802.0893025]         [Thread #125]      Translating reads...
[1602772821.4888463]         [Thread #125]      Running DIAMOND...
[1602772827.4356308]         [Thread #125]      Converting DIAMOND...
[1602772827.551432]          [Thread #125]      Parsing DIAMOND...
[1602772827.7631972]         [Thread #125]      Annotating...
[1602772827.9485648]         [Thread #125]      Analyzing...
[1602772828.1657279]         [Thread #125]      Create read mapping...
[1602772844.536394]          [Thread #125]    - [Thread #125] finished
[1602772823.72133]           [Thread #126]    - [Thread #126] running on [1/28] CPUs
[1602772823.7214131]         [Thread #126]      Creating output directories...
[1602772823.7228198]         [Thread #126]      Translating reads...
[1602772844.4001472]         [Thread #126]      Running DIAMOND...
[1602772850.4676318]         [Thread #126]      Converting DIAMOND...
[1602772850.5880451]         [Thread #126]      Parsing DIAMOND...
[1602772850.781829]          [Thread #126]      Annotating...
[1602772851.0177288]         [Thread #126]      Analyzing...
[1602772851.329153]          [Thread #126]      Create read mapping...
[1602772867.4049308]         [Thread #126]    - [Thread #126] finished
[1602772846.7355578]         [Thread #127]    - [Thread #127] running on [1/28] CPUs
[1602772846.735639]          [Thread #127]      Creating output directories...
[1602772846.7372494]         [Thread #127]      Translating reads...
[1602772867.3286564]         [Thread #127]      Running DIAMOND...
[1602772873.2844353]         [Thread #127]      Converting DIAMOND...
[1602772873.5094285]         [Thread #127]      Parsing DIAMOND...
[1602772873.6212947]         [Thread #127]      Annotating...
[1602772873.7721498]         [Thread #127]      Analyzing...
[1602772874.084001]          [Thread #127]      Create read mapping...
[1602772889.2826853]         [Thread #127]    - [Thread #127] finished
[1602772869.4760516]         [Thread #128]    - [Thread #128] running on [1/28] CPUs
[1602772869.476115]          [Thread #128]      Creating output directories...
[1602772869.4773364]         [Thread #128]      Translating reads...
[1602772889.1048617]         [Thread #128]      Running DIAMOND...
[1602772895.1221578]         [Thread #128]      Converting DIAMOND...
[1602772895.2415733]         [Thread #128]      Parsing DIAMOND...
[1602772895.4057305]         [Thread #128]      Annotating...
[1602772895.6968944]         [Thread #128]      Analyzing...
[1602772895.887813]          [Thread #128]      Create read mapping...
[1602772912.8033412]         [Thread #128]    - [Thread #128] finished
[1602772891.4639406]         [Thread #129]    - [Thread #129] running on [1/28] CPUs
[1602772891.4640203]         [Thread #129]      Creating output directories...
[1602772891.4653983]         [Thread #129]      Translating reads...
[1602772912.7838216]         [Thread #129]      Running DIAMOND...
[1602772918.669729]          [Thread #129]      Converting DIAMOND...
[1602772918.7955143]         [Thread #129]      Parsing DIAMOND...
[1602772918.932322]          [Thread #129]      Annotating...
[1602772919.1977816]         [Thread #129]      Analyzing...
[1602772919.5366485]         [Thread #129]      Create read mapping...
[1602772935.0909724]         [Thread #129]    - [Thread #129] finished
[1602772914.9766896]         [Thread #130]    - [Thread #130] running on [1/28] CPUs
[1602772914.9767704]         [Thread #130]      Creating output directories...
[1602772914.9780807]         [Thread #130]      Translating reads...
[1602772934.9533696]         [Thread #130]      Running DIAMOND...
[1602772941.0145526]         [Thread #130]      Converting DIAMOND...
[1602772941.124353]          [Thread #130]      Parsing DIAMOND...
[1602772941.323692]          [Thread #130]      Annotating...
[1602772941.6520221]         [Thread #130]      Analyzing...
[1602772941.953053]          [Thread #130]      Create read mapping...
[1602772957.5128028]         [Thread #130]    - [Thread #130] finished
[1602772937.3861532]         [Thread #131]    - [Thread #131] running on [1/28] CPUs
[1602772937.3862734]         [Thread #131]      Creating output directories...
[1602772937.3877861]         [Thread #131]      Translating reads...
[1602772957.3785195]         [Thread #131]      Running DIAMOND...
[1602772963.3079634]         [Thread #131]      Converting DIAMOND...
[1602772963.4356658]         [Thread #131]      Parsing DIAMOND...
[1602772963.5857596]         [Thread #131]      Annotating...
[1602772963.9967465]         [Thread #131]      Analyzing...
[1602772964.0771308]         [Thread #131]      Create read mapping...
[1602772979.9180326]         [Thread #131]    - [Thread #131] finished
[1602772959.7278368]         [Thread #132]    - [Thread #132] running on [1/28] CPUs
[1602772959.7279184]         [Thread #132]      Creating output directories...
[1602772959.72903]           [Thread #132]      Translating reads...
[1602772979.8688922]         [Thread #132]      Running DIAMOND...
[1602772985.8423488]         [Thread #132]      Converting DIAMOND...
[1602772985.971646]          [Thread #132]      Parsing DIAMOND...
[1602772986.1475704]         [Thread #132]      Annotating...
[1602772986.3186324]         [Thread #132]      Analyzing...
[1602772986.645452]          [Thread #132]      Create read mapping...
[1602773003.4133005]         [Thread #132]    - [Thread #132] finished
[1602772982.188173]          [Thread #133]    - [Thread #133] running on [1/28] CPUs
[1602772982.1882842]         [Thread #133]      Creating output directories...
[1602772982.189731]          [Thread #133]      Translating reads...
[1602773003.3077576]         [Thread #133]      Running DIAMOND...
[1602773009.2494576]         [Thread #133]      Converting DIAMOND...
[1602773009.3877568]         [Thread #133]      Parsing DIAMOND...
[1602773009.5377567]         [Thread #133]      Annotating...
[1602773009.9067278]         [Thread #133]      Analyzing...
[1602773010.1634169]         [Thread #133]      Create read mapping...
[1602773026.491835]          [Thread #133]    - [Thread #133] finished
[1602773005.9897373]         [Thread #134]    - [Thread #134] running on [1/28] CPUs
[1602773005.9898176]         [Thread #134]      Creating output directories...
[1602773005.9911795]         [Thread #134]      Translating reads...
[1602773026.2919214]         [Thread #134]      Running DIAMOND...
[1602773032.4084187]         [Thread #134]      Converting DIAMOND...
[1602773032.5135796]         [Thread #134]      Parsing DIAMOND...
[1602773032.7054536]         [Thread #134]      Annotating...
[1602773033.2688527]         [Thread #134]      Analyzing...
[1602773033.5568213]         [Thread #134]      Create read mapping...
[1602773048.6382895]         [Thread #134]    - [Thread #134] finished
[1602773028.476187]          [Thread #135]    - [Thread #135] running on [1/28] CPUs
[1602773028.4763134]         [Thread #135]      Creating output directories...
[1602773028.4776576]         [Thread #135]      Translating reads...
[1602773048.520652]          [Thread #135]      Running DIAMOND...
[1602773054.4324868]         [Thread #135]      Converting DIAMOND...
[1602773054.5620065]         [Thread #135]      Parsing DIAMOND...
[1602773054.7025275]         [Thread #135]      Annotating...
[1602773054.8256583]         [Thread #135]      Analyzing...
[1602773055.0880833]         [Thread #135]      Create read mapping...
[1602773071.549795]          [Thread #135]    - [Thread #135] finished
[1602773050.8994102]         [Thread #136]    - [Thread #136] running on [1/28] CPUs
[1602773050.8994918]         [Thread #136]      Creating output directories...
[1602773050.9008963]         [Thread #136]      Translating reads...
[1602773071.4471166]         [Thread #136]      Running DIAMOND...
[1602773077.4358969]         [Thread #136]      Converting DIAMOND...
[1602773077.5517812]         [Thread #136]      Parsing DIAMOND...
[1602773077.734069]          [Thread #136]      Annotating...
[1602773078.1352825]         [Thread #136]      Analyzing...
[1602773078.3213413]         [Thread #136]      Create read mapping...
[1602773093.7845776]         [Thread #136]    - [Thread #136] finished
[1602773073.870502]          [Thread #137]    - [Thread #137] running on [1/28] CPUs
[1602773073.8705823]         [Thread #137]      Creating output directories...
[1602773073.8719516]         [Thread #137]      Translating reads...
[1602773093.6738434]         [Thread #137]      Running DIAMOND...
[1602773099.7375548]         [Thread #137]      Converting DIAMOND...
[1602773099.8636224]         [Thread #137]      Parsing DIAMOND...
[1602773100.2927146]         [Thread #137]      Annotating...
[1602773100.715364]          [Thread #137]      Analyzing...
[1602773101.0487297]         [Thread #137]      Create read mapping...
[1602773117.3011286]         [Thread #137]    - [Thread #137] finished
[1602773096.0161319]         [Thread #138]    - [Thread #138] running on [1/28] CPUs
[1602773096.016212]          [Thread #138]      Creating output directories...
[1602773096.0175052]         [Thread #138]      Translating reads...
[1602773117.2642093]         [Thread #138]      Running DIAMOND...
[1602773123.2665553]         [Thread #138]      Converting DIAMOND...
[1602773123.3877733]         [Thread #138]      Parsing DIAMOND...
[1602773123.5323052]         [Thread #138]      Annotating...
[1602773123.7314837]         [Thread #138]      Analyzing...
[1602773124.052882]          [Thread #138]      Create read mapping...
[1602773139.8617382]         [Thread #138]    - [Thread #138] finished
[1602773119.4756107]         [Thread #139]    - [Thread #139] running on [1/28] CPUs
[1602773119.475691]          [Thread #139]      Creating output directories...
[1602773119.4770544]         [Thread #139]      Translating reads...
[1602773139.739125]          [Thread #139]      Running DIAMOND...
[1602773145.7582393]         [Thread #139]      Converting DIAMOND...
[1602773145.8744404]         [Thread #139]      Parsing DIAMOND...
[1602773146.0188415]         [Thread #139]      Annotating...
[1602773146.1657283]         [Thread #139]      Analyzing...
[1602773146.3096988]         [Thread #139]      Create read mapping...
[1602773162.5487955]         [Thread #139]    - [Thread #139] finished
[1602773142.0739536]         [Thread #140]    - [Thread #140] running on [1/28] CPUs
[1602773142.0740333]         [Thread #140]      Creating output directories...
[1602773142.0759943]         [Thread #140]      Translating reads...
[1602773162.405723]          [Thread #140]      Running DIAMOND...
[1602773168.2653112]         [Thread #140]      Converting DIAMOND...
[1602773168.408646]          [Thread #140]      Parsing DIAMOND...
[1602773168.6040213]         [Thread #140]      Annotating...
[1602773168.9607484]         [Thread #140]      Analyzing...
[1602773169.2470272]         [Thread #140]      Create read mapping...
[1602773186.5539215]         [Thread #140]    - [Thread #140] finished
[1602773164.848668]          [Thread #141]    - [Thread #141] running on [1/28] CPUs
[1602773164.8487482]         [Thread #141]      Creating output directories...
[1602773164.8504634]         [Thread #141]      Translating reads...
[1602773186.4684725]         [Thread #141]      Running DIAMOND...
[1602773192.3698926]         [Thread #141]      Converting DIAMOND...
[1602773192.4662492]         [Thread #141]      Parsing DIAMOND...
[1602773192.7200813]         [Thread #141]      Annotating...
[1602773192.9681373]         [Thread #141]      Analyzing...
[1602773193.0820518]         [Thread #141]      Create read mapping...
[1602773209.012955]          [Thread #141]    - [Thread #141] finished
[1602773188.7908077]         [Thread #142]    - [Thread #142] running on [1/28] CPUs
[1602773188.790889]          [Thread #142]      Creating output directories...
[1602773188.792224]          [Thread #142]      Translating reads...
[1602773208.934142]          [Thread #142]      Running DIAMOND...
[1602773214.853772]          [Thread #142]      Converting DIAMOND...
[1602773214.9793034]         [Thread #142]      Parsing DIAMOND...
[1602773215.2114096]         [Thread #142]      Annotating...
[1602773215.4827514]         [Thread #142]      Analyzing...
[1602773215.7440014]         [Thread #142]      Create read mapping...
[1602773231.4070656]         [Thread #142]    - [Thread #142] finished
[1602773211.2294428]         [Thread #143]    - [Thread #143] running on [1/28] CPUs
[1602773211.229524]          [Thread #143]      Creating output directories...
[1602773211.2308798]         [Thread #143]      Translating reads...
[1602773231.3453445]         [Thread #143]      Running DIAMOND...
[1602773237.2562096]         [Thread #143]      Converting DIAMOND...
[1602773237.3846986]         [Thread #143]      Parsing DIAMOND...
[1602773237.5110512]         [Thread #143]      Annotating...
[1602773237.622011]          [Thread #143]      Analyzing...
[1602773237.8363557]         [Thread #143]      Create read mapping...
[1602773253.232316]          [Thread #143]    - [Thread #143] finished
[1602773233.657549]          [Thread #144]    - [Thread #144] running on [1/28] CPUs
[1602773233.6576295]         [Thread #144]      Creating output directories...
[1602773233.659052]          [Thread #144]      Translating reads...
[1602773253.351733]          [Thread #144]      Running DIAMOND...
[1602773259.225043]          [Thread #144]      Converting DIAMOND...
[1602773259.3214772]         [Thread #144]      Parsing DIAMOND...
[1602773259.5655348]         [Thread #144]      Annotating...
[1602773259.7044234]         [Thread #144]      Analyzing...
[1602773259.7783957]         [Thread #144]      Create read mapping...
[1602773275.3588939]         [Thread #144]    - [Thread #144] finished
[1602773255.5560184]         [Thread #145]    - [Thread #145] running on [1/28] CPUs
[1602773255.5561054]         [Thread #145]      Creating output directories...
[1602773255.5575538]         [Thread #145]      Translating reads...
[1602773275.265166]          [Thread #145]      Running DIAMOND...
[1602773281.2775211]         [Thread #145]      Converting DIAMOND...
[1602773281.3987615]         [Thread #145]      Parsing DIAMOND...
[1602773281.6814632]         [Thread #145]      Annotating...
[1602773281.857003]          [Thread #145]      Analyzing...
[1602773282.1851776]         [Thread #145]      Create read mapping...
[1602773296.994406]          [Thread #145]    - [Thread #145] finished
[1602773277.5881393]         [Thread #146]    - [Thread #146] running on [1/28] CPUs
[1602773277.5882206]         [Thread #146]      Creating output directories...
[1602773277.5898507]         [Thread #146]      Translating reads...
[1602773296.9588318]         [Thread #146]      Running DIAMOND...
[1602773303.046672]          [Thread #146]      Converting DIAMOND...
[1602773303.1614838]         [Thread #146]      Parsing DIAMOND...
[1602773303.2972817]         [Thread #146]      Annotating...
[1602773303.4025931]         [Thread #146]      Analyzing...
[1602773303.6421685]         [Thread #146]      Create read mapping...
[1602773319.827199]          [Thread #146]    - [Thread #146] finished
[1602773299.2030866]         [Thread #147]    - [Thread #147] running on [1/28] CPUs
[1602773299.2031255]         [Thread #147]      Creating output directories...
[1602773299.2073624]         [Thread #147]      Translating reads...
[1602773320.0882201]         [Thread #147]      Running DIAMOND...
